movie,chapter,character,,dialog
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,You should feel right at home then. Don't mind if I use the quill do you?
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,"Oh, no."
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,"So Harry, here you sit, a mere boy of twelve.."
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,I'm fourteen.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,...about to compete against three students. Not only vastly more emotionally mature than yourself but have mastered spells that you wouldn't attempt in your dizziest daydreams. Concerned?
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,I dunno I haven't really thought about it.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,Course you're not just any ordinary boy of twelve are you...
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,Fourteen.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,The story's legend. Do you think it was the trauma of your past that made you so keen to enter such a dangerous tournament.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,No I didn't enter.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,"Course you didn't. Everyone loves a rebel Harry.  Scratch that last. Speaking of your parents, were they alive, how do you think they'd feel? proud? or concerned that your attitude shows at best a pathological need for attention, at worst a psychotic deathwish."
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,"Hey, my eyes aren't glistening with the ghosts of my past."
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,Harry. I couldn't risk sending Edward. It was since the world cup and the ministry's been intercepting more and more owls and she's too easily recognised. We need to talk Harry. Face to face. Meet me in the Griffindore common room at one o clock this Saturday night and make sure you're alone. P.S....
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,The bird bites.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,Sirius?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Rita Skeeter,,"Harry Potter aged 12, suspect entrant in the tri-wizard tournament. His eyes swimming with the ghosts of his..."
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,Sirius?! How...
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,I don't have much time Harry so let me get straight to it. Did you or did you not put your name into the goblet of fire?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,No!
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,"Shh... I had to ask. Now, tell me about this dream of yours. You mentioned Wormtail and Voldemort, but who was the third man in the room?"
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,I dunno.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,You didn't hear a name?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,No. Umm.. Voldemort was giving him a job to do. Something important.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,What was that?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,"He wanted... me. I dunno why, but he was gonna use this man to get to me. I mean it was only a dream right?"
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,"Yes. It's just a dream. Look Harry, the deatheaters at the world cup, your name rising from that goblet these are not just coincidences. Hogwarts isn't safe any more."
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,What are you saying?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,"I'm saying the devils are inside the walls. Igor Karkaroff, he was a deatheater. And no one, no one stops being a deatheater. Then there's Barty Crouch, heart of stone, sent his OWN son to Azkaban."
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,Do you think one of them put my name in the goblet?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,I haven't a clue who put your name in that goblet Harry but whoever did it is no friend to you. People die in this tournament.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,I'm not ready for this Sirius.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,You don't have a choice.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Sirius Black,Someone's coming!
Harry Potter and the Gobelt of Fire,Sirius Conversation,Sirius Black,Harry Potter,Keep your friends close Harry.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Ron Weasley,Harry Potter,Who you talking to?
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Ron Weasley,Who says I was talking to anyone.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Ron Weasley,Harry Potter,I heard voices.
Harry Potter and the Gobelt of Fire,Sirius Conversation,Harry Potter,Ron Weasley,"Maybe you're imagining things, wouldn't be the first time."
Harry Potter and the Gobelt of Fire,Sirius Conversation,Ron Weasley,Harry Weasley,You're probably just practicing for your next interview I expect.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Neville Longbottom,Harry Potter,Amazing. Amazing.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Neville Longbottom,Neville! You're doing it again!
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Neville Longbottom,Harry Potter,"Oh, right sorry."
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Neville Longbottom,Magical water plants of the highland Lochs?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Neville Longbottom,Harry Potter,Moody gave it to me. That day we had tea.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Hermione Granger,Ron Weasley,We've already been through enough people why don't you just go and do it yourself? Ughh. What do you want me to say again?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Hermione Granger,Harry Potter,Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid was looking for you.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Hermione Granger,Is that right? Well.... what?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Hermione Granger,Harry Potter,Uhhh...
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Hermione Granger,Harry Potter,Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Hermione Granger,Well you can tell Ronald...
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Hermione Granger,Harry Potter,I'm NOT an owl!
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,Did you bring your father's cloak like I asked you?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Rubeus Hagrid,Yeah I brought the cloak. Hagrid where are we going?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,You'll see soon enough. Pay attention this is important.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Rubeus Hagrid,What's with the flower? Hagrid have you combed your hair?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,As a matter of fact I have. You might like to try the same thing now and again.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Olympe Maxime,Rubeus Hagrid,Hagrid?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,"Oh, the cloak. Put the cloak on."
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Olympe Maxime,Bonsoir Olympe.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Olympe Maxime,Rubeus Hagrid,"Oh Hagrid. I thought you weren't coming, I thought perhaps... you had... forgotten me."
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Olympe Maxime,Couldn't forget you Olympe.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Olympe Maxime,Rubeus Hagrid,What is it you want to show me? When we spoke earlier you sounded so exhilirated.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Olympe Maxime,You'll be glad you came. Trust me.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Olympe Maxime,,"Ahh, c'est magnifique!"
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Olympe Maxime,Rubeus Hagrid,Can we get closer?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Rubeus Hagrid,Dragons? That's the first task? You're joking.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,Come on Harry. They're seriously misunderstood creatures.
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,"Although, I have to admit that horntail is a right nasty piece of work. Poor Ron nearly fainted just seeing him you know."
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Rubeus Hagrid,Ron was here?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Rubeus Hagrid,Harry Potter,Oh sure. His brother Charlie helped bring him over from Romania. Didn't Ron tell you that?
Harry Potter and the Gobelt of Fire,The Hungarian Horntail,Harry Potter,Rubeus Hagrid,No he didn't. He didn't tell me a thing.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Student,Harry Potter,Cedric rules!
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Student,Thanks.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Student,Harry Potter,Like the badge?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,,Excuse me..
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Cedric Diggory,Can I have a word?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Cedric Diggory,Harry Potter,Alright.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Cedric Diggory,Dragons. That's the first task. They've got one for each of us.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Cedric Diggory,Harry Potter,"Are you serious? And Fleur and Krum, do they...?"
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Cedric Diggory,Yes.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Cedric Diggory,Harry Potter,"Right. Hey listen, about the badges. I've asked them not to wear them."
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Cedric Diggory,Don't worry about it.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Ron Weasley,You're a right foul git you know that?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Ron Weasley,Harry Potter,You think so?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Ron Weasley,I know so.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Ron Weasley,Harry Potter,Anything else?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Ron Weasley,Yeah. Stay away from me.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Ron Weasley,Harry Potter,Fine.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Draco Malfoy,Harry Potter,Why so tense Potter? My father and I have a bet you see. I don't think you're gonna last ten minutes in this tournament. He disagrees. He thinks you won't last
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Draco Malfoy,"I don't give a damn what you or your father thinks Malfoy. He's vile and cruel, and you're just pathetic."
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Draco Malfoy,I'll teach you to cast when someone's back is turned.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Minerva McGonagall,Alastor Moody,Professor Moody what are you doing?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Minerva McGonagall,Teaching.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Minerva McGonagall,Alastor Moody,Is that a student?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Minerva McGonagall,Technically it's a ferret.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Draco Malfoy,Alastor Moody,My father will hear about this!
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Draco Malfoy,Is that a threat!
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Draco Malfoy,I could tell you stories about your father that would curl even your greasy hair boy! It doesn't end here!
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Minerva McGonagall,Alastor Moody,"We never use transfigration as a punishment, surely Dumbledore told you that."
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Minerva McGonagall,He might've mentioned it.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Minerva McGonagall,Alastor Moody,Well you will do well to remember it.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,come with me.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,That's a foal glass. Lets me keep an eye on my enemies. If I can see the whites of their eyes they're standing right behind me.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,Wouldn't even bother telling you what's in ther. You wouldn't believe it if I did. Now... what are you going to do about your dragon?
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Alastor Moody,Oh... um... You know I just thought I'd...
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,"Sit. Listen to me Potter. Your pal Diggory, by your age he could take a whistle into a watch and have it sing you the time. Miss Delacour, she's as much a fairy princess as I am. As for Krum, his head may be filled with sawdust but Karkaroff's is NOT. They'll have a strategy, and you can bet that it'll play to Krum's strengths. Hmm? Come on Potter. What are your strengths?"
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Alastor Moody,Um... I dunno.. I can fly. I mean I'm a fair flyer.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,Better than fair the way I heard it.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Harry Potter,Alastor Moody,But I'm not allowed a broom.
Harry Potter and the Gobelt of Fire,Transforming Malfoy,Alastor Moody,Harry Potter,You're allowed a wand.
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,Harry Potter,Pssst! Harry? Is that you?
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Hermione Granger,Yeah.
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,Harry Potter,How are you feeling? OK? The key is to concentrate. After that you just have to...
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Hermione Granger,Battle a dragon.
Harry Potter and the Gobelt of Fire,The First Task,Rita Skeeter,"Hermione Granger, Harry Potter",Young love! Ohh how.. stirring. If everything goes unfortunately today you might make the front page.
Harry Potter and the Gobelt of Fire,The First Task,Viktor Krum,Rita Skeeter,You have no business here. This tent is for champions and friends.
Harry Potter and the Gobelt of Fire,The First Task,Rita Skeeter,Viktor Krum,No matter. We've got what we wanted.
Harry Potter and the Gobelt of Fire,The First Task,Albus Dumbledore,"Harry Potter, Cedric Diggory, Fleur Delacour, Viktor Krum","Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate."
Harry Potter and the Gobelt of Fire,The First Task,Albus Dumbledore,Hermione Granger,What are you doing here Miss Granger?
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,Albus Dumbledore,Oh um.. Sorry I'll just go.
Harry Potter and the Gobelt of Fire,The First Task,Albus Dumbledore,Bartemius Crouch,Barty. The bag.
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,"Harry Potter, Cedric Diggory, Fleur Delacour, Viktor Krum","Champions, in a circle around me. Miss Delacour over here, Mr Krum, and Potter over here. Right. Miss Delacour, if you will..."
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,Victor Krum,The welsh green. Mr Krum...
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,Cedric Diggory,The chinese fireball. Oooooh.
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,Fleur Delacour,The swedish short-snout. Which leaves...
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,,The horntail...
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,Harry Potter,What's that boy?
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Bartemius Crouch,Nothing.
Harry Potter and the Gobelt of Fire,The First Task,Bartemius Crouch,"Harry Potter, Cedric Diggory, Fleur Delacour, Viktor Krum","The hungarian horntail. These represent very real dragons, each of which has been given a golden egg to protect. Your objective is simple, collect the egg. This you must do, for each egg contains a clue without which you cannot hope to proceed to the next task. Any questions?"
Harry Potter and the Gobelt of Fire,The First Task,Albus Dumbledore,"Harry Potter, Cedric Diggory, Fleur Delacour, Viktor Krum",Very well. Good luck champions. Mr Diggory the sound of the cannon...
Harry Potter and the Gobelt of Fire,The First Task,Albus Dumbledore,,Three of our champions have now faced their dragons and so each one of them will proceed to the next task. And now our fourth and final contestant.
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,Harry Potter,Your wand harry! Your wand!
Harry Potter and the Gobelt of Fire,The First Task,George Weasley,Harry Potter,We knew you wouldn't die Harry.
Harry Potter and the Gobelt of Fire,The First Task,Fred Weasley,George Weasley,Lose a leg.
Harry Potter and the Gobelt of Fire,The First Task,George Weasley,Fred Weasley,Or an arm.
Harry Potter and the Gobelt of Fire,The First Task,Fred Weasley,Harry Potter,Pack it in altogether.
Harry Potter and the Gobelt of Fire,The First Task,Seamus Finnigan,Harry Potter,"Go on Harry, what's the clue?"
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,,Who wants me to open it? You want me to open it?
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,,What the bloody hell was that?
Harry Potter and the Gobelt of Fire,The First Task,Fred Weasley,,"Alright everyone, go back to your knitting. This is gonna be uncomfortable enough without all you nosey sods listening in."
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Harry Potter,I reckon you'd have to be barking mad to put your own name in the goblet of fire.
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Ron Weasley,Caught on have you. Took you long enough.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Harry Potter,Wasn't just me who thought you'd done it. Everyone was saying it behind your back.
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Ron Weasley,Brilliant. That makes me feel loads better.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Harry Potter,At least I warned you about the dragons.
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Ron Weasley,Hagrid warned me about the dragons.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Harry Potter,"Oh no no, I did. Don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that Hagrid was looking for you. Seamus never actually told me anything, so it was really me all along. I thought you'd be alright, you know, after you figured that out."
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Ron Weasley,Who could possibly figure that out? That's completely mental.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Harry Potter,Yeah it is isn't it. Suppose I was a bit distraught.
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,,Boys.
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,"Harry Potter, Ron Weasley",Look at this! I can't believe it she's done it again. Miss Granger a plain but ambitious girl seems to be developing a taste for famous wizards. Her latest prey sources report is none other than the Bulgarian bon-bon Viktor Krum. No word yet on how Harry Potter's taking this latest emotional blow.
Harry Potter and the Gobelt of Fire,The First Task,Nigel Wolpert,Ron Weasley,Parcel for you Mr Weasley.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Nigel Wolpert,Thank you Nigel.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Nigel Wolpert,Not now Nigel. Later. Go on.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,"Harry Potter, Hermione Granger, Ginny Weasley",I told him I'd get him Harry's autograph. Oh look mum's sent me something. Mum sent me a dress??
Harry Potter and the Gobelt of Fire,The First Task,Harry Potter,Ron Weasley,Well it does match your eyes. Is there a bonnet?
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Ginny Weasley,Ginny these must be for you.
Harry Potter and the Gobelt of Fire,The First Task,Ginny Weasley,Ron Weasley,I'm not wearing that it's ghastly.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Hermione Granger,What are you on about?
Harry Potter and the Gobelt of Fire,The First Task,Hermione Granger,Ron Weasley,They're not for Ginny they're for you! Dress robes.
Harry Potter and the Gobelt of Fire,The First Task,Ron Weasley,Hermione Granger,Dress robes? for what?
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,All,"The yule ball has been a tradition of the tri-wizard tournament since its inception. On Christmas eve night we and our guests gather in the great hall for well mannered frivolity. As representitives of the host school I expect each and every one of you to put your best foot forward, and I mean this literally because the yule ball is first and foremost... a dance."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,All,"Silence. The house of Godrick Griffindore has commanded the respect of the wizard world for nearly ten centuries. I will not have you in the course of a single evening besmirching that name by behaving like a babbling, bumbling band of baboons."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Fred Weasley,Harry Potter,Try saying that five times faster.
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,All,"Now to dance is to let the body breathe, inside every girl a secret swan slumbers longing to burst forth and take flight."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Ron Weasley,Harry Potter,Something's about to burst out of Hilary but I don't think it's a swan.
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,Ron Weasley,"Inside every boy a lordly lion prepared to prance. Mr Weasly, will you join me."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,Ron Weasley,"Now, place your right hand on my waist."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Ron Weasley,Minerva McGonagall,Where?
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,Ron Weasley,My waist.
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,Ron Weasley,Now bend your arm. Mr Filch...
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,Ron Weasley,"One two three, one two three, one two three."
Harry Potter and the Gobelt of Fire,Best Foot Forward,Harry Potter,"Fred Weasley, George Weasley",Oi! Never gonna let him forget this are you?
Harry Potter and the Gobelt of Fire,Best Foot Forward,Fred Weasley,Harry Potter,Never.
Harry Potter and the Gobelt of Fire,Best Foot Forward,George Weasley,Harry Potter,Never.
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,All,Everybody come together.
Harry Potter and the Gobelt of Fire,Best Foot Forward,Minerva McGonagall,All,"Boys, on your feet."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,Why do they always have to travel in packs? How are you supposed to get one alone to ask them...
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,"Blimey Harry, you slayed dragons. If you can't get a date who can?"
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,I think I'd take the dragon right now.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Rubeus Hagrid,Olympe Maxime,"I take after my mum. Though I didn't know her very well, she left when I was about three. No, not the maternal sort her, broke my dad's heart though. You know he was a tiny little fellow my dad, I could pick him up with one hand by the age of six and put him up in the dresser."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Rubeus Hagrid,Olympe Maxime,"And then he died when I was still in school. So I had to make me own way as it were. But enough of me, what about you!"
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,This is mad. At this rate we'll be the only ones in our year without dates.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,"Well, us and Neville!"
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,But then again he can take himself.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,"Harry Potter, Ron Weasley",It might interest you to know that Neville's already got someone.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Hermione Granger,Now I'm really depressed.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Hermione Granger,"Well Hermione, you're a girl."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,Ron Weasley,Oh well spotted.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Hermione Granger,Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,Ron Weasley,I won't be going alone because believe it or not someone's asked me. And I said yes.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,Bloody hell.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,"Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed?"
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,Agreed.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,Harry!
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Cho Chang,Cho!
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,"Watch yourself on the stairs, it's a bit icey at the top."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Cho Chang,Ok thanks. Cho?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,Yes?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Cho Chang,Um.  I just wondered if maybe you wanted to go to the ball with me?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,Sorry? I didn't catch that.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Cho Chang,Um. I was just wondering if maybe you wanted to go to the ball with me.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,Oh. Um. Harry I'm sorry but someone's already asked me. And well I've said I'll go with him.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Cho Chang,Ok. Great. Fine. No problem. Good.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Cho Chang,Harry Potter,Harry I really am sorry.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,What happened to you?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Student,Harry Potter,He just asked Fleur Delacour out.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,Ron Weasley,What?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,What did she say?
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,Harry Potter,No of course.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Hermione Granger,Harry Potter,She said yes??
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Hermione Granger,Don't be silly.
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Ron Weasley,Harry Potter,"There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Student,Harry Potter,"Actually he sort of screamed at her, it was a bit frightening."
Harry Potter and the Gobelt of Fire,An Unexpected Challenge,Harry Potter,Ron Weasley,What did you do then?
